hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 60.00000, 277.366, 0.118102, 277.366, -119.882, 277.366, 120.118, 0, 0, 1.15967, -179.867, 1.15967, 60.1334, 1.15967, -59.8666, 2.26366E-010, 60.1073
0, 120.00000, 277.335, 0.12293, 277.335, -119.877, 277.335, 120.123, 0, 0, 1.15993, -179.88, 1.15993, 60.1198, 1.15993, -59.8802, 2.26274E-010, 60.1192
0, 180.00000, 277.341, 0.12221, 277.341, -119.878, 277.341, 120.122, 0, 0, 1.15989, -179.877, 1.15989, 60.1228, 1.15989, -59.8772, 2.26385E-010, 60.1386
0, 240.00000, 277.34, 0.122348, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.16024, -179.878, 1.16024, 60.1222, 1.16024, -59.8778, 2.26459E-010, 60.1119
0, 300.00000, 277.34, 0.122362, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.16049, -179.878, 1.16049, 60.1224, 1.16049, -59.8776, 2.26433E-010, 60.1198
0, 360.00000, 277.34, 0.122291, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15997, -179.878, 1.15997, 60.1223, 1.15997, -59.8777, 2.26377E-010, 60.13
0, 420.00000, 277.34, 0.122301, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15993, -179.878, 1.15993, 60.1223, 1.15993, -59.8777, 2.26383E-010, 60.1184
0, 480.00000, 277.34, 0.122316, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.16006, -179.878, 1.16006, 60.1223, 1.16006, -59.8777, 2.26373E-010, 60.1202
0, 540.00000, 277.34, 0.122235, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15944, -179.878, 1.15944, 60.1222, 1.15944, -59.8778, 2.26269E-010, 60.1259
0, 600.00000, 277.34, 0.122209, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15911, -179.878, 1.15911, 60.1222, 1.15911, -59.8778, 2.26215E-010, 60.121
0, 660.00000, 277.34, 0.122204, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15903, -179.878, 1.15903, 60.1222, 1.15903, -59.8778, 2.26182E-010, 60.1207
0, 720.00000, 277.34, 0.122254, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15942, -179.878, 1.15942, 60.1222, 1.15942, -59.8778, 2.26264E-010, 60.1239
0, 780.00000, 277.34, 0.12227, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15962, -179.878, 1.15962, 60.1223, 1.15962, -59.8777, 2.26309E-010, 60.1219
0, 840.00000, 277.34, 0.122301, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15989, -179.878, 1.15989, 60.1223, 1.15989, -59.8777, 2.26354E-010, 60.1214
0, 900.00000, 277.34, 0.122295, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15989, -179.878, 1.15989, 60.1223, 1.15989, -59.8777, 2.26356E-010, 60.123
0, 960.00000, 277.34, 0.122296, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15989, -179.878, 1.15989, 60.1223, 1.15989, -59.8777, 2.26359E-010, 60.1224
0, 1020.00000, 277.34, 0.122297, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.1599, -179.878, 1.1599, 60.1223, 1.1599, -59.8777, 2.26358E-010, 60.1218
0, 1080.00000, 277.34, 0.122287, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15983, -179.878, 1.15983, 60.1223, 1.15983, -59.8777, 2.26343E-010, 60.1226
0, 1140.00000, 277.34, 0.12224, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15944, -179.878, 1.15944, 60.1222, 1.15944, -59.8778, 2.26269E-010, 60.1222
0, 1200.00000, 277.34, 0.1222, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15905, -179.878, 1.15905, 60.1222, 1.15905, -59.8778, 2.26191E-010, 60.1219
0, 1260.00000, 277.34, 0.122244, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15933, -179.878, 1.15933, 60.1222, 1.15933, -59.8778, 2.26247E-010, 60.1223
0, 1320.00000, 277.34, 0.122281, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.1597, -179.878, 1.1597, 60.1223, 1.1597, -59.8777, 2.26319E-010, 60.1222
0, 1380.00000, 277.34, 0.122299, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.15989, -179.878, 1.15989, 60.1223, 1.15989, -59.8777, 2.26357E-010, 60.1222
0, 1440.00000, 277.34, 0.122332, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.16019, -179.878, 1.16019, 60.1223, 1.16019, -59.8777, 2.26414E-010, 60.1223
0, 1500.00000, 277.34, 0.122355, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.16042, -179.878, 1.16042, 60.1224, 1.16042, -59.8776, 2.2646E-010, 60.1224
0, 1560.00000, 277.34, 0.122374, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.16061, -179.878, 1.16061, 60.1224, 1.16061, -59.8776, 2.26497E-010, 60.1223
0, 1620.00000, 277.34, 0.122382, 277.34, -119.878, 277.34, 120.122, 0, 0, 1.1607, -179.878, 1.1607, 60.1224, 1.1607, -59.8776, 2.26514E-010, 60.1224
0, 1680.00000, 277.341, 0.122461, 277.341, -119.878, 277.341, 120.122, 0, 0, 1.16133, -179.878, 1.16133, 60.1225, 1.16133, -59.8775, 2.26639E-010, 60.1224
0, 1740.00000, 277.341, 0.122501, 277.341, -119.878, 277.341, 120.122, 0, 0, 1.16177, -179.878, 1.16177, 60.1225, 1.16177, -59.8775, 2.26724E-010, 60.1225
0, 1800.00000, 277.341, 0.122544, 277.341, -119.877, 277.341, 120.123, 0, 0, 1.16218, -179.877, 1.16218, 60.1225, 1.16218, -59.8775, 2.26804E-010, 60.1224
0, 1860.00000, 277.341, 0.122542, 277.341, -119.877, 277.341, 120.123, 0, 0, 1.16223, -179.877, 1.16223, 60.1225, 1.16223, -59.8775, 2.26813E-010, 60.1225
0, 1920.00000, 277.341, 0.122553, 277.341, -119.877, 277.341, 120.123, 0, 0, 1.16232, -179.877, 1.16232, 60.1226, 1.16232, -59.8774, 2.26831E-010, 60.1225
0, 1980.00000, 277.341, 0.122642, 277.341, -119.877, 277.341, 120.123, 0, 0, 1.16304, -179.877, 1.16304, 60.1226, 1.16304, -59.8774, 2.26971E-010, 60.1226
0, 2040.00000, 277.341, 0.122661, 277.341, -119.877, 277.341, 120.123, 0, 0, 1.16333, -179.877, 1.16333, 60.1227, 1.16333, -59.8773, 2.27027E-010, 60.1226
