hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 60.00000, 277.154, -0.00424531, 277.154, -120.004, 277.154, 119.996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 120.00000, 277.123, 0.000620772, 277.123, -119.999, 277.123, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 180.00000, 277.13, -0.000104236, 277.13, -120, 277.13, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 240.00000, 277.128, -9.49551E-006, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 300.00000, 277.128, -1.85507E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 360.00000, 277.128, -1.86352E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 420.00000, 277.128, -1.82649E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 480.00000, 277.128, -1.84031E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 540.00000, 277.128, -1.83641E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 600.00000, 277.128, -1.83738E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 660.00000, 277.128, -1.83716E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 720.00000, 277.128, -1.8372E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 780.00000, 277.128, -1.8372E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 840.00000, 277.128, -1.8372E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 900.00000, 277.128, -1.8372E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 960.00000, 277.128, -1.8372E-005, 277.128, -120, 277.128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
